,Smiles_A,Smiles_B,natoms,Ea_DFT,Ea_nn,Diff_MolA,Eb_DFT,Eb_nn,Diff_molB,Diff_abi,Diff_NN,Diff_NN_abi
1133,O=C1N=Cc(cccc2)c2N1,O=C1N=C(C=CC=C2)C2=CN1,11.0,-2012.7604328671298,-2008.5616899032593,-4.1987429638704725,-2002.7304883791726,-2000.4191187973022,-2.3113695818703945,10.02994448795721,8.142571105957131,-1.887373382000078
1134,Oc1nc2ncccc2nc1,O=C1Nc2ncccc2N=C1,11.0,-1878.5209926480243,-1870.7492017593383,-7.771790888685928,-1887.5707956410608,-1883.751628074646,-3.8191675664147624,-9.049802993036565,-13.00242631530773,-3.9526233222711653
1135,Oc1n[nH]cc1,O=C1NNC=C1,6.0,-1033.6821395036811,-1033.6515458221436,-0.03059368153753894,-1030.6425683092305,-1030.4960356063843,-0.14653270284611608,3.039571194450673,3.15551021575925,0.11593902130857714
1136,Cn(cc1)nc1O,CN(C=C1)NC1=O,7.0,-1327.5402513820795,-1327.7472092285157,0.2069578464361257,-1323.2009004338388,-1322.9279964981079,-0.2729039357309375,4.339350948240735,4.8192127304077985,0.4798617821670632
1137,Oc(cc1)nn1-c1ccccc1,O=C(C=C1)NN1c1ccccc1,12.0,-2270.814635692601,-2262.33244871521,-8.482186977390938,-2269.5611015195036,-2267.284497253418,-2.276604266085542,1.2535341730972505,-4.952048538208146,-6.2055827113053965
1138,Oc1nocc1,O=C1NOC=C1,6.0,-946.6777252070307,-945.8956367111206,-0.7820884959101022,-945.6201381309999,-945.3241788253785,-0.29595930562140893,1.0575870760308135,0.5714578857421202,-0.4861291902886933
1139,Cc1cc(O)no1,CC(ON1)=CC1=O,7.0,-1242.4091429910238,-1242.1761412582398,-0.23300173278403236,-1246.5293045080277,-1246.3902033119202,-0.1391011961075037,-4.120161517003908,-4.214062053680436,-0.09390053667652865
1140,Cc1c(C)[nH]nc1O,CC1=C(C)NNC1=O,8.0,-1627.3533877694297,-1627.02276537323,-0.3306223961997148,-1626.9304673999009,-1627.151026702881,0.22055930298006388,0.4229203695288106,-0.12826132965096804,-0.5511816991797787
1141,Cc1c(C)n(C)nc1O,CC1=C(C)N(C)NC1=O,9.0,-1920.275315771258,-1919.9656602859498,-0.3096554853082125,-1918.193678529074,-1918.2354518966674,0.041773367593350486,2.081637242183888,1.7302083892823248,-0.351428852901563
1142,Cc1c(C)n(-c2ccccc2)nc1O,CC1=C(C)N(c2ccccc2)NC1=O,14.0,-2866.165905990262,-2857.478917671204,-8.6869883190584,-2863.471013252841,-2859.6333209381105,-3.8376923147307025,2.6948927374210143,-2.1544032669066837,-4.849296004327698
1143,Cc1noc(O)c1,CC(NO1)=CC1=O,7.0,-1245.5340132633003,-1246.0977006225585,0.5636873592582106,-1248.8584031421574,-1248.8477537269591,-0.010649415198258794,-3.3243898788571187,-2.7500531044006493,0.5743367744564694
1144,CC(C1)=NN(C)C1=O,CC(NN1C)=CC1=O,8.0,-1631.3935659873264,-1631.3783723373413,-0.015193649985121738,-1623.3422169736043,-1623.316382423401,-0.025834550203398976,8.051349013722074,8.061989913940351,0.010640900218277238
1145,CC(C1)=NN(C)C1=O,Cc1nn(C)c(O)c1,8.0,-1631.3935534367822,-1631.3723903274536,-0.021163109328654173,-1618.875837049023,-1620.8720276184083,1.9961905693853623,12.517716387759265,10.500362709045248,-2.0173536787140165
1146,CC(C1)=NOC1=O,Cc1noc(O)c1,7.0,-1254.6662149057472,-1254.7009744606019,0.0347595548546451,-1245.534069113193,-1246.1029788665771,0.568909753384105,9.132145792554184,8.597995594024724,-0.5341501985294599
1147,OC1=NNCCC1,O=C1NNCCC1,7.0,-1451.7037374825702,-1450.9174965820312,-0.7862409005390418,-1459.9830041964985,-1459.9237643508911,-0.059239845607407915,-8.279266713928337,-9.00626776885997,-0.7270010549316339
1148,OC1=NOCCC1,O=C1NOCCC1,7.0,-1367.753626824902,-1366.9523343544006,-0.8012924705014939,-1375.085321307529,-1374.9481702766418,-0.137151030887253,-7.331694482626972,-7.995835922241213,-0.6641414396142409
1149,OC1=NNCC1,O=C1NNCC1,6.0,-1154.0005278689468,-1153.096976371765,-0.903551497181752,-1164.9199538132962,-1164.6096183128357,-0.3103355004604964,-10.919425944349314,-11.51264194107057,-0.5932159967212556
1150,OC1=NOCC1,O=C1NOCC1,6.0,-1072.04059557342,-1071.2927272453308,-0.7478683280892255,-1078.3393465814165,-1079.0037139320373,0.6643673506207506,-6.298751007996543,-7.710986686706519,-1.4122356787099761
1151,O=C(C1)NNC1=O,OC(NN1)=CC1=O,7.0,-1146.131760888406,-1146.6096625900268,0.4779017016207945,-1129.5417337776753,-1129.288577018738,-0.25315675893739353,16.590027110730716,17.321085571288904,0.731058460558188
1152,OC(CC1)=NNC1=O,O=C(CC1)NNC1=O,8.0,-1431.3932519912687,-1430.9112803077699,-0.48197168349884123,-1441.9784716442994,-1442.2203579711913,0.2418863268919722,-10.585219653030663,-11.309077663421476,-0.7238580103908134
1153,OC(N=C1)=NNC1=O,O=C(C=N1)NNC1=O,8.0,-1175.3311232862147,-1174.6436481628418,-0.6874751233729057,-1169.7677331753134,-1169.5926325492858,-0.17510062602764265,5.5633901109013095,5.0510156135560464,-0.5123744973452631
1154,OC(C=NN1)=NC1=O,O=C(C=NN1)NC1=O,8.0,-1178.8118645819477,-1178.674907032013,-0.1369575499347775,-1199.284853134398,-1199.3979088439942,0.11305570959621036,-20.47298855245026,-20.72300181198125,-0.25001325953098785
1155,OC1=CCCNC1=O,O=C(CCCN1)C1=O,8.0,-1562.2329112728573,-1562.4186420593262,0.18573078646886643,-1572.8438927797906,-1572.8484522399901,0.004559460199516252,-10.610981506933285,-10.429810180663935,0.18117132626935017
1156,OC1=NC=CC1=O,O=C(C=CN1)C1=O,7.0,-1117.5829221694278,-1117.2148577384949,-0.3680644309329182,-1136.2798632981287,-1136.3251800613402,0.045316763211531,-18.696941128700928,-19.110322322845377,-0.4133811941444492
