,Smiles_A,Smiles_B,natoms,Ea_DFT,Ea_nn,Diff_MolA,Eb_DFT,Eb_nn,Diff_molB,Diff_abi,Diff_NN,Diff_NN_abi
831,Oc1n[nH]c2c1cccc2,O=C1NNc2c1cccc2,10.0,-1835.873134856098,-1836.2881510449133,0.4150161888153434,-1837.8155885500173,-1837.2058437514486,-0.6097447985687268,-1.942453693919333,-0.9176927065352629,1.0247609873840702
832,Oc1c(cccc2)c2n[nH]1,Oc1n[nH]c2c1cccc2,10.0,-1825.2758646752065,-1824.4003709844928,-0.8754936907137107,-1835.8731354836366,-1836.2883269829324,0.41519149929581545,-10.59727080843004,-11.887955998439566,-1.2906851900095262
833,Cn(c1c2cccc1)nc2O,CN(c1c2cccc1)NC2=O,11.0,-2131.343376428638,-2131.2491194056206,-0.09425702301723504,-2132.1781052185456,-2132.121068227244,-0.057036991301629314,-0.8347287899077855,-0.8719488216233913,-0.03722003171560573
834,Oc1noc2c1cccc2,O=C1NOc2c1cccc2,10.0,-1751.56591118051,-1750.9701756681063,-0.5957355124037349,-1751.8972192399883,-1751.3686752808942,-0.5285439590941223,-0.3313080594782605,-0.39849961278787305,-0.06719155330961257
835,CC(C(NNC)=O)=O,CNNC(C(O)=C)=O,8.0,-1569.6007680144405,-1569.519666769305,-0.0811012451354145,-1552.4304929718658,-1552.9271281457225,0.49663517385670275,17.170275042574758,16.59253862358264,-0.5777364189921173
836,O=C(CCNN1)C1=O,OC1=CCNNC1=O,8.0,-1433.5224184358792,-1433.2326232578198,-0.28979517805942123,-1422.0408713170405,-1422.4706705802814,0.42979926324096596,11.481547118838762,10.761952677538375,-0.7195944413003872
837,OC1=NNc(cccc2)c2C1=O,OC1=C(C=CC=C2)C2=NNC1=O,12.0,-2101.639921820188,-2100.1726593148624,-1.4672625053258344,-2091.6477107067362,-2086.989799497385,-4.657911209351369,9.992211113451958,13.182859817477492,3.1906487040255342
838,Oc(cc1)nnc1O,OC(C=C1)=NNC1=O,8.0,-1296.9621704468173,-1297.0025836644552,0.040413217637933485,-1304.9483599016605,-1305.0048605466802,0.056500645019696094,-7.98618945484327,-8.002276882225033,-0.01608742738176261
839,OC(C=C1)=NNC1=O,O=C(C=C1)NNC1=O,8.0,-1304.9483599016605,-1305.0048605466802,0.056500645019696094,-1306.7948818297175,-1306.6889392635035,-0.10594256621402565,-1.8465219280569727,-1.684078716823251,0.16244321123372174
840,Oc(c1nc2ccccc2nc11)nnc1O,OC(c1nc2ccccc2nc11)=NNC1=O,16.0,-2631.6740933614865,-2631.115949591589,-0.5581437698974696,-2646.45279864953,-2645.166887594274,-1.2859110552558377,-14.778705288043511,-14.050938002685143,0.7277672853583681
841,Oc(c1ccccc11)nnc1O,OC(c1c2cccc1)=NNC2=O,12.0,-2096.2263473882113,-2096.22461017095,-0.0017372172610521375,-2110.521280522421,-2110.8343273216324,0.3130467992114063,-14.294933134209714,-14.609717150682172,-0.31478401647245846
842,OC(c1c2cccc1)=NNC2=O,O=C(c1c2cccc1)NNC2=O,12.0,-2110.521280522421,-2110.83467919767,0.31339867524911824,-2116.6963709590364,-2117.7080497816814,1.0116788226450808,-6.175090436615392,-6.873370584011354,-0.6982801473959626
843,O=C(N1)NNC1=O,OC(NN1)=NC1=O,7.0,-1046.0506444308664,-1045.7787511719157,-0.27189325895074035,-1020.1225214933098,-1020.1553140386619,0.03279254535209475,25.928122937556623,25.623437133253788,-0.3046858043028351
844,O=C(N1)NNC1=O,OC(N1)=NNC1=O,7.0,-1046.050617447959,-1045.7791910169626,-0.271426430996371,-1028.9497675435928,-1028.699392050061,-0.250375493531692,17.100849904366214,17.079798966901535,-0.02105093746467901
845,CCOC(NC1=O)=NN1c1ccccc1,CCOC(NN1c2ccccc2)=NC1=O,15.0,-2877.762846721545,-2876.4914263981764,-1.2714203233686021,-2866.516534706697,-2865.2769611360504,-1.239573570646371,11.246312014848172,11.214465262125941,-0.03184675272223103
846,O=C(NC1=O)NN1c1ccccc1,OC(NC1=O)=NN1c1ccccc1,13.0,-2295.334530844792,-2295.3790581586677,0.04452731387573294,-2280.856234422153,-2278.355295450784,-2.5009389713691235,14.478296422638778,17.023762707883634,2.5454662852448564
847,O=C(NC1=O)NN1c1ccccc1,Oc1nc(O)nn1-c1ccccc1,13.0,-2295.3345283347808,-2295.379234096687,0.044705761906243424,-2276.762289823373,-2275.294677674157,-1.4676121492161656,18.572238511407704,20.084556422530113,1.512317911122409
848,OC(NC1=O)=NN1c1ccccc1,Oc1nc(O)nn1-c1ccccc1,13.0,-2280.856235049655,-2278.3554713888025,-2.500763660852499,-2276.762296098544,-2275.2943257981187,-1.4679703004253497,4.093938951110886,3.0611455906837364,-1.0327933604271493
849,NC/C(/O)=C/N,NCC(CN)=O,6.0,-1292.4381548631945,-1292.0534471930541,-0.38470767014041485,-1304.9814599345414,-1305.8749620191052,0.8935020845638064,-12.543305071346822,-13.821514826051043,-1.2782097547042213
850,NC(Nc1ccccc1)=N,NC(N)=Nc1ccccc1,10.0,-2037.7368592371972,-2037.072664777656,-0.6641944595412497,-2042.4135888271574,-2041.6181994337212,-0.7953893934361531,-4.676729589960132,-4.545534656065229,0.13119493389490344
851,NC(NN)=N,NC(N)=NN,5.0,-937.2627246365773,-937.5336767703674,0.2709521337900469,-920.1511625179808,-919.2560038018472,-0.895158716133551,17.111562118596567,18.277672968520164,1.166110849923598
852,NC(NO)=N,NC(N)=NO,5.0,-853.0099932561626,-853.1372647365108,0.12727148034821312,-855.8570708827395,-855.3074601995302,-0.5496106832093801,-2.8470776265769473,-2.170195463019354,0.6768821635575932
853,NC(NC(N)=O)=N,NC(N)=NC(N)=O,7.0,-1249.5055132094412,-1249.0709974569193,-0.4345157525219747,-1255.5546022536873,-1254.7217747476575,-0.8328275060298438,-6.049089044246102,-5.650777290738233,0.39831175350786907
854,NC(NNC(c1ccccc1)=O)=N,NC(N)=NNC(c1ccccc1)=O,13.0,-2466.5574018524053,-2467.814151093461,1.2567492410557861,-2468.5206355225077,-2467.482156051814,-1.038479470693801,-1.9632336701024542,0.3319950416471329,2.295228711749587
855,NC(NNc1ccccc1)=N,NC(N)=NNc1ccccc1,11.0,-2186.52898368182,-2183.5822350007597,-2.9467486810603987,-2188.841036690823,-2189.373410830573,0.532374139750118,-2.3120530090027387,-5.791175829813255,-3.4791228208105167
