,Unnamed: 0,Smiles_A,Smiles_B,natoms,Ea_DFT,Ea_nn,Diff_MolA,Eb_DFT,Eb_nn,Diff_molB,Diff_abi,Diff_NN,Diff_NN_abi,n_atoms
1033,1033,CC(N=C1N2N=NN1)=CC2=O,CC(Nc1nnnn11)=CC1=O,11.0,-1729.8068745501373,-1726.8334800567627,-2.973394493374599,-1731.3336539325182,-1725.699009475708,-5.6346444568102925,-1.5267793823809368,1.1344705810547566,2.6612499634356936,11
1034,1034,CC(N1N=NNC1=N1)=CC1=O,CC(n1nnnc1N1)=CC1=O,11.0,-1723.400586172853,-1723.3938243713378,-0.006761801515267507,-1736.7873624153613,-1733.7207087936401,-3.0666536217211164,-13.386776242508175,-10.326884422302328,3.0598918202058485,11
1035,1035,O=C1N(c(cccc2)c2N2)C2=NC=C1,O=C(C=CN1)n2c1nc1c2cccc1,14.0,-2515.652581990337,-2499.63121547699,-16.021366513346493,-2512.846778299983,-2497.735973991394,-15.110804308588285,2.8058036903539687,1.895241485595761,-0.9105622047582074,14
1036,1036,O=C(C=C1)N=C2N1c(cccc1)c1N2,O=C1Nc2nc(cccc3)c3n2C=C1,14.0,-2503.9380602540336,-2491.651742111206,-12.28631814282744,-2511.7219360491117,-2499.6123897399907,-12.109546309121015,-7.78387579507762,-7.960647628784045,-0.17677183370642524,14
1037,1037,O=C1N2N=CNC2=NN=C1,O=C1n2ncnc2NN=C1,10.0,-1430.6049962405164,-1427.5505343704224,-3.054461870094201,-1441.2047632176514,-1436.6244516334534,-4.580311584197943,-10.599766977134776,-9.073917263031037,1.5258497141037424,10
1038,1038,O=C1N(C=NN2)C2=NN=C1,O=C(C=NN1)n2c1nnc2,10.0,-1431.941461205632,-1432.327785060883,0.3863238552507937,-1434.26595191117,-1432.4688901176453,-1.7970617935245627,-2.324490705537982,-0.1411050567626262,2.1833856487753565,10
1039,1039,CC1=NN(C=NN2)C2=NC1=O,CC(C(N1)=O)=Nn2c1nnc2,11.0,-1733.2431455381818,-1730.6744582290646,-2.5686873091169677,-1733.9599799642829,-1733.2505931930539,-0.7093867712287647,-0.7168344261010589,-2.576134963989261,-1.8593005378882024,11
1040,1040,CC1=NN=C(NCC2)N2C1=O,CC1=NNC2=NCCN2C1=O,11.0,-2000.8253762824047,-1998.947896247864,-1.8774800345408948,-2001.0930321114135,-1999.84572555542,-1.2473065559938732,-0.2676558290090725,-0.8978293075560941,-0.6301734785470217,11
1041,1041,O=C1N(CCN2)C2=NN=C1c1ccccc1,O=C(C(c1ccccc1)=NN1)N2C1=NCC2,16.0,-2945.2689018366864,-2929.220986312866,-16.047915523820393,-2944.8904178884636,-2933.8769253616333,-11.013492526830303,0.3784839482227653,-4.655939048767324,-5.034422996990088,16
1042,1042,CC1=NN=C(NCCC2)N2C1=O,CC1=NNC2=NCCCN2C1=O,12.0,-2298.4308718298084,-2297.852039955139,-0.578831874669504,-2298.78396730262,-2297.094435997009,-1.6895313056102168,-0.3530954728112192,0.7576039581294935,1.1106994309407128,12
1043,1043,O=C1N(CCCN2)C2=NN=C1c1ccccc1,O=C(C(c1ccccc1)=NN1)N2C1=NCCC2,17.0,-3243.047103401991,-3226.483596130371,-16.563507271619986,-3242.6104797318294,-3229.1695185699464,-13.440961161883026,0.4366236701616799,-2.6859224395752794,-3.122546109736959,17
1044,1044,CC1=NN=C(NCCCC2)N2C1=O,CC1=NNC2=NCCCCN2C1=O,13.0,-2588.6596497359,-2583.9888151473997,-4.670834588499929,-2474.44537179225,-2496.338294975281,21.892923183030234,114.21427794364901,87.65052017211883,-26.563757771530167,13
1045,1045,O=C1N(CCCCN2)C2=NN=C1c1ccccc1,O=C(C(c1ccccc1)=NN1)N2C1=NCCCC2,18.0,-3532.765726568375,-3510.0811840667725,-22.684542501602664,-3527.3790423305604,-3509.2363131408692,-18.142729189691178,5.386684237814734,0.8448709259032512,-4.541813311911484,18
1046,1046,CCC(NN12)=CC2=NC=C(c2ccccc2)C1=O,CCc(cc1NC=C2c3ccccc3)nn1C2=O,18.0,-3530.013146555897,-3516.472433807373,-13.540712748524127,-3530.6353480718512,-3509.6349965057375,-21.00035156611329,-0.6222015159537477,6.8374373016354175,7.459638817589166,18
1047,1047,CCC(NN12)=C(C(OC)=O)C2=NC=C(c2ccccc2)C1=O,CCc(c(C(OC)=O)c1NC=C2c3ccccc3)nn1C2=O,22.0,-4198.230087771352,-4181.0065226898205,-17.223565081532797,-4207.531489440004,-4176.337739913941,-31.193749526063584,-9.301401668652032,4.6687827758787535,13.970184444530787,22
1048,1048,CCC(NN(C1=NC=C2c3ccccc3)C2=O)=C1C#N,CCc(c(C#N)c1NC=C2c3ccccc3)nn1C2=O,20.0,-3724.968903875144,-3710.5657822723383,-14.403121602805186,-3729.800140378042,-3703.722362960816,-26.07777741722657,-4.831236502898264,6.843419311523122,11.674655814421385,20
1049,1049,NC(NN12)=CC2=NC=C(c2ccccc2)C1=O,Nc(cc1NC=C2c3ccccc3)nn1C2=O,17.0,-3108.748092072633,-3089.003637359619,-19.74445471301442,-3110.6862070540637,-3091.132177230835,-19.55402982322812,-1.9381149814298624,-2.1285398712161623,-0.1904248897862999,17
1050,1050,COC(C(C1=NC=C2c3ccccc3)=C(N)NN1C2=O)=O,COC(c1c(NC=C(c2ccccc2)C2=O)n2nc1N)=O,21.0,-3782.948103220685,-3762.209529281616,-20.73857393906883,-3789.8443525282673,-3762.032180282593,-27.812172245674446,-6.896249307582367,0.17734899902325196,7.073598306605617,21
1051,1051,NC(NN(C1=NC=C2c3ccccc3)C2=O)=C1C#N,Nc(c(C#N)c1NC=C2c3ccccc3)nn1C2=O,19.0,-3305.3622186147827,-3287.175309036255,-18.18690957852732,-3310.779720061695,-3287.150677230835,-23.62904283086027,-5.4175014469128655,0.024631805420085584,5.442133252332951,19
1052,1052,Cc1nn2c(O)cc(C)nc2c1,CC(NN12)=CC2=NC(C)=CC1=O,12.0,-2293.3020778503737,-2291.317925743103,-1.9841521072708017,-2293.516156704074,-2294.6462104797365,1.130053775662418,-0.21407885370035729,-3.3282847366335773,-3.1142058829332204,12
1053,1053,CCC(C(C(OC)=O)C1=N2)=NN1C(CC)=C(C)C2=O,CCc(c(C(OC)=O)c1N2)nn1C(CC)=C(C)C2=O,19.0,-3827.637422094972,-3821.748473693848,-5.888948401124253,-3856.8832051534996,-3842.561997390747,-14.321207762753149,-29.245783058528104,-20.81352369689921,8.432259361628894,19
