,natoms,CH,CN,CO,CC,NN,NO,NH,OH
174,11,9,2,0,10,0,0,0,0
175,11,11,2,0,10,0,0,0,0
176,5,4,2,0,3,0,0,1,0
177,9,6,2,0,8,0,0,1,0
178,12,10,2,2,9,0,0,1,0
179,12,11,5,0,8,0,0,1,0
180,13,13,5,0,9,0,0,1,0
181,10,5,3,0,8,0,0,3,0
182,11,9,4,0,8,0,0,1,0
183,6,3,3,0,3,0,0,3,0
184,8,5,5,0,4,0,0,1,0
185,16,9,5,0,14,0,0,1,0
186,12,5,3,0,8,3,0,1,0
187,13,8,2,0,13,0,0,1,0
188,11,7,7,1,4,0,0,0,0
189,14,6,4,2,9,0,0,2,0
190,15,9,4,3,9,0,0,1,0
191,7,6,2,0,5,0,0,1,0
192,15,10,2,0,15,0,0,1,0
193,11,8,4,0,8,0,0,0,0
194,7,6,2,2,3,0,0,1,0
195,16,10,4,0,14,0,0,2,0
196,8,6,4,0,2,2,0,2,0
197,3,4,1,0,1,0,0,1,0
198,3,1,1,1,0,0,0,2,0
199,3,3,1,0,0,0,1,0,0
200,3,2,1,0,0,0,1,1,0
201,4,3,1,0,0,0,2,0,0
202,4,0,0,0,0,1,2,2,0
203,6,10,2,0,2,1,0,0,0
204,11,12,2,0,8,1,0,0,0
205,8,14,2,0,4,1,0,0,0
206,8,14,2,0,4,1,0,0,0
207,10,9,4,0,5,1,0,0,0
208,5,7,1,0,2,0,1,0,0
209,5,5,1,0,1,0,2,0,0
210,6,7,1,0,2,0,2,0,0
211,7,9,1,0,3,0,2,0,0
212,7,9,1,0,3,0,2,0,0
213,11,9,1,0,8,0,2,0,0
214,10,13,1,0,7,0,2,0,0
215,5,3,1,0,0,1,2,1,0
216,5,7,1,0,3,0,0,0,0
217,10,2,4,0,5,0,0,0,0
218,8,3,2,1,4,0,0,0,1
219,4,3,3,0,0,0,0,1,0
220,14,14,2,2,8,2,0,1,0
221,13,14,2,0,9,2,0,1,0
222,15,11,3,0,8,2,2,1,0
223,12,12,2,0,8,2,0,1,0
224,7,8,0,2,4,0,0,0,0
225,6,3,1,1,1,0,2,0,0
226,6,3,2,0,1,0,2,1,0
227,6,3,1,1,1,0,2,0,0
228,6,3,2,0,1,0,2,1,0
229,4,6,1,0,2,0,0,1,0
230,8,8,0,2,6,0,0,0,0
231,8,8,2,0,6,0,0,2,0
232,10,8,0,6,4,0,0,0,0
233,11,12,0,6,4,0,0,0,0
234,11,3,7,2,2,1,0,1,0
235,8,6,0,4,4,0,0,0,0
236,8,6,0,4,4,0,0,0,0
237,8,5,0,4,4,0,0,0,1
238,19,8,0,5,16,0,0,0,2
239,14,4,0,4,11,0,0,0,2
240,9,5,0,4,5,0,0,0,1
241,13,7,0,4,10,0,0,0,1
242,9,6,0,4,5,0,0,0,0
243,13,9,0,5,8,0,0,0,1
244,15,7,0,5,11,0,0,0,1
245,12,7,0,5,7,0,0,0,1
246,15,6,0,7,8,0,0,0,2
247,12,7,0,5,7,0,0,0,1
248,8,4,2,2,4,0,0,1,0
249,8,3,2,2,4,0,0,1,1
250,13,8,2,5,6,0,0,1,0
251,10,2,3,2,5,0,0,1,1
252,12,4,2,4,6,0,0,1,2
253,12,6,2,2,9,0,0,1,0
254,7,6,0,2,5,0,0,0,0
255,7,4,0,2,5,0,0,0,0
256,11,6,0,2,10,0,0,0,0
257,7,4,0,4,3,0,0,0,0
258,8,7,3,2,3,0,0,0,0
259,9,4,0,5,4,0,0,0,2
260,19,12,4,2,14,1,0,0,0
261,38,20,8,4,29,2,0,0,2
262,9,3,0,5,4,0,0,0,1
263,10,5,0,5,5,0,0,0,1
264,11,7,0,5,6,0,0,0,1
265,11,7,0,5,6,0,0,0,1
266,13,9,0,7,6,0,0,0,1
267,13,9,0,7,6,0,0,0,1
268,10,5,2,3,5,0,0,1,1
269,10,5,2,3,5,0,0,1,1
270,17,11,2,3,13,0,0,1,1
271,10,2,1,4,3,0,2,0,1
272,10,2,1,4,3,0,2,0,1
273,11,5,0,5,6,0,0,0,1
274,11,7,0,5,6,0,0,0,1
275,14,12,0,8,6,0,0,0,0
276,13,11,2,3,8,0,0,1,1
277,13,11,2,3,8,0,0,1,1
278,13,8,3,4,6,0,0,0,1
279,13,8,3,4,6,0,0,0,1
280,22,13,4,3,16,1,0,0,1
281,12,11,0,3,9,0,0,0,1
282,9,5,0,3,6,0,0,0,1
283,10,5,0,3,7,0,0,0,1
284,14,7,0,3,12,0,0,0,1
285,8,4,0,3,5,0,0,0,0
286,12,8,0,4,8,0,0,0,0
287,14,5,1,2,10,0,2,0,0
288,11,8,2,4,5,0,0,1,0
289,13,8,2,2,10,0,0,1,0
290,9,6,0,4,5,0,0,0,0
291,13,8,0,4,10,0,0,0,0
292,16,9,4,1,13,0,0,1,0
293,16,8,4,3,11,0,0,0,0
294,18,10,0,4,16,0,0,0,0
295,20,8,0,6,16,0,0,0,2
296,13,7,3,4,6,0,0,1,0
297,10,6,2,4,4,0,0,1,0
298,9,6,0,4,5,0,0,0,0
299,8,3,0,4,4,0,0,0,1
300,15,9,4,4,8,0,0,1,0
301,12,4,5,1,7,0,0,1,0
302,12,9,1,5,5,0,1,0,0
303,10,8,3,2,4,1,0,0,0
304,10,7,1,3,5,0,1,0,0
305,12,10,3,4,4,1,0,0,0
306,10,5,1,5,3,0,1,0,0
307,11,10,3,2,5,1,0,0,0
308,12,9,0,2,10,0,0,0,1
309,15,8,1,2,10,0,2,0,1
310,14,11,0,4,10,0,0,0,1
311,10,9,0,3,6,0,0,0,1
312,20,13,0,3,18,0,0,0,1
313,10,10,0,3,6,0,0,0,0
314,12,7,1,1,8,0,2,0,0
315,9,10,0,4,4,0,0,0,0
316,13,9,2,4,7,0,0,0,0
317,11,10,0,4,8,0,0,0,0
318,6,5,0,2,3,0,0,0,1
319,13,11,0,2,11,0,0,0,1
320,14,12,7,2,2,0,2,0,1
321,10,9,0,3,6,0,0,0,1
322,15,11,0,3,12,0,0,0,1
323,12,11,0,5,6,0,0,0,1
324,9,7,0,3,5,0,0,0,1
325,14,17,0,2,13,0,0,0,1
326,13,7,1,1,10,0,2,0,0
327,10,9,1,1,6,0,2,0,0
328,9,7,1,1,5,0,2,0,0
329,8,7,1,3,3,0,0,0,0
330,9,9,1,1,7,0,0,0,0
331,8,7,1,1,6,0,0,0,0
332,11,10,0,5,5,0,0,0,0
333,14,14,0,5,9,0,0,0,0
334,7,2,3,1,2,0,1,3,0
335,7,8,2,0,4,1,0,0,0
336,11,8,2,0,9,1,0,0,0
337,9,9,2,2,4,1,0,1,0
338,6,3,3,0,2,1,0,2,0
339,9,5,2,0,7,1,0,1,0
340,6,5,4,0,2,0,0,1,0
341,10,9,4,4,2,0,0,1,0
342,10,13,4,0,6,0,0,1,0
343,14,14,5,0,10,0,0,0,0
344,9,12,4,0,5,0,0,0,0
345,6,5,3,0,3,0,0,1,0
346,6,5,3,0,3,0,0,1,0
347,6,5,3,0,3,0,0,1,0
348,6,4,3,0,3,0,0,2,0
349,6,4,3,0,3,0,0,2,0
350,7,7,2,2,3,0,0,0,0
351,6,3,1,2,3,0,0,2,0
352,10,5,1,2,8,0,0,2,0
353,12,7,4,0,8,1,0,2,0
354,6,2,2,1,2,0,1,2,0
355,11,6,1,2,8,0,1,0,1
356,7,4,3,0,4,0,0,2,0
357,8,4,3,0,4,1,0,3,0
358,10,7,4,1,5,0,0,1,0
359,15,9,4,1,11,0,0,1,0
360,10,4,3,0,4,1,2,1,0
361,11,6,3,0,9,0,0,2,0
362,21,18,6,0,18,0,0,1,0
363,21,12,6,0,18,0,0,1,0
364,7,3,3,0,3,1,0,2,0
365,11,5,3,0,8,1,0,2,0
366,7,4,2,1,4,0,0,1,0
367,15,8,3,0,14,0,0,2,0
368,12,20,4,0,7,0,0,0,0
369,22,24,4,0,19,0,0,0,0
370,20,16,7,1,14,0,0,1,0
371,10,15,4,0,4,1,0,0,0
372,20,15,7,1,13,1,0,1,0
373,23,19,7,1,17,1,0,1,0
374,23,15,7,1,17,1,0,1,0
375,21,12,6,1,15,1,0,2,0
376,24,14,6,2,17,1,0,2,0
377,25,15,7,4,15,2,0,2,0
378,25,8,9,4,12,2,0,3,0
379,26,10,9,4,13,2,0,3,0
380,24,11,8,4,12,2,0,3,0
381,30,16,13,3,14,3,0,1,0
382,32,19,12,6,14,3,0,1,0
383,10,7,3,0,6,0,1,1,0
384,16,12,4,0,12,1,0,1,0
385,19,11,3,0,17,1,0,2,0
386,23,13,3,0,22,1,0,2,0
387,19,11,3,0,17,1,0,2,0
388,22,16,4,2,17,1,0,1,0
389,21,9,3,2,17,1,0,2,2
390,21,9,3,2,17,1,0,3,1
391,8,8,1,1,6,0,0,1,0
392,8,8,1,1,6,0,0,1,0
393,8,7,1,1,6,0,0,1,1
394,7,7,1,1,4,0,0,1,1
395,13,10,3,1,9,1,0,0,0
396,13,10,3,1,9,1,0,0,0
397,13,9,3,1,9,1,0,0,1
398,17,17,2,1,15,0,0,0,0
399,15,11,2,1,13,0,0,0,0
