,n_atoms,n_C,n_N,n_O,n_H
729,12,7,3,2,5
730,6,4,2,0,6
731,8,3,3,2,3
732,6,3,3,0,5
733,11,9,2,0,8
734,10,6,2,2,8
735,9,6,3,0,7
736,13,9,4,0,8
737,13,10,3,0,9
738,9,5,4,0,6
739,8,3,5,0,3
740,8,3,5,0,3
741,5,3,1,1,7
742,7,5,1,1,9
743,6,4,1,1,7
744,5,4,1,0,7
745,6,5,1,0,9
746,7,5,1,1,7
747,7,5,1,1,7
748,6,4,1,1,5
749,6,4,1,1,5
750,7,5,1,1,5
751,8,6,1,1,7
752,8,6,1,1,7
753,9,6,1,2,7
754,8,5,1,2,5
755,8,5,1,2,5
756,10,5,2,3,4
757,8,5,2,1,6
758,8,5,2,1,6
759,11,9,1,1,7
760,15,13,1,1,9
761,11,9,1,1,7
762,7,4,2,1,4
763,11,8,2,1,6
764,15,8,4,3,8
765,7,4,2,1,4
766,11,8,2,1,6
767,11,8,2,1,6
768,16,11,2,3,10
769,13,6,4,3,4
770,12,9,1,2,7
771,12,9,1,2,7
772,7,4,1,2,7
773,8,4,2,2,8
774,11,8,1,2,5
775,8,4,2,2,4
776,7,3,2,2,4
777,12,8,2,2,6
778,8,5,1,2,7
779,7,4,1,2,5
780,7,4,1,2,3
781,11,8,1,2,5
782,8,3,3,2,3
783,8,3,3,2,3
784,11,8,0,3,10
785,4,1,2,1,4
786,10,5,4,1,4
787,8,4,2,2,4
788,8,4,2,2,4
789,12,8,2,2,6
790,11,5,4,2,4
791,12,8,1,3,5
792,9,3,3,3,3
793,8,3,3,2,3
794,14,8,3,3,13
795,14,7,4,3,6
796,15,8,4,3,8
797,13,9,3,1,9
798,10,6,3,1,5
799,13,9,3,1,9
800,12,8,2,2,6
801,6,1,4,1,2
802,8,5,1,2,7
803,8,5,1,2,7
804,7,4,2,1,6
805,7,4,2,1,6
806,7,4,2,1,6
807,7,4,2,1,6
808,7,4,2,1,6
809,8,5,2,1,8
810,13,10,2,1,10
811,8,5,2,1,8
812,8,5,2,1,8
813,8,4,3,1,7
814,13,9,3,1,9
815,14,10,2,2,10
816,10,6,2,2,8
817,16,11,3,2,11
818,9,6,2,1,10
819,14,11,2,1,12
820,8,5,1,2,7
821,7,3,2,2,4
822,12,9,1,2,7
823,17,12,1,4,11
824,15,11,1,3,11
825,7,3,2,2,4
826,9,5,2,2,8
827,13,9,2,2,8
828,9,5,3,1,7
829,10,5,4,1,8
830,10,5,3,2,7
831,10,7,2,1,6
832,10,7,2,1,6
833,11,8,2,1,8
834,10,7,1,2,5
835,8,4,2,2,8
836,8,4,2,2,6
837,12,8,2,2,6
838,8,4,2,2,4
839,8,4,2,2,4
840,16,10,4,2,6
841,12,8,2,2,6
842,12,8,2,2,6
843,7,2,3,2,3
844,7,2,3,2,3
845,15,10,3,2,11
846,13,8,3,2,7
847,13,8,3,2,7
848,13,8,3,2,7
849,6,3,2,1,8
850,10,7,3,0,9
851,5,1,4,0,6
852,5,1,3,1,5
853,7,2,4,1,6
854,13,8,4,1,10
855,11,7,4,0,10
856,6,2,3,1,7
857,12,8,3,1,11
858,9,4,3,2,9
859,6,2,4,0,4
860,7,1,4,2,4
861,10,8,2,0,10
862,10,8,2,0,8
863,13,10,2,1,12
864,17,14,2,1,12
865,12,8,2,2,6
866,18,14,2,2,10
867,10,6,3,1,9
868,7,5,2,0,6
869,13,11,2,0,10
870,10,7,2,1,8
871,11,9,2,0,8
872,11,9,2,0,8
873,15,13,2,0,10
874,11,8,3,0,7
875,7,4,3,0,5
876,15,12,3,0,11
877,7,4,3,0,5
878,11,8,3,0,7
879,12,8,4,0,8
880,9,5,4,0,8
881,11,7,4,0,6
882,11,7,4,0,6
883,11,8,3,0,7
884,11,8,3,0,7
885,11,8,3,0,7
886,7,4,3,0,5
887,9,6,3,0,5
888,10,5,3,2,5
889,6,4,1,1,5
890,12,10,2,0,10
891,11,8,2,1,8
892,7,4,2,1,6
893,9,5,2,2,6
894,10,7,2,1,6
895,10,7,2,1,6
896,7,4,2,1,6
897,7,4,2,1,6
898,10,7,2,1,10
899,11,8,3,0,9
900,19,16,3,0,15
901,15,12,3,0,11
902,15,12,3,0,11
903,12,8,3,1,7
904,12,8,3,1,7
905,13,9,3,1,9
906,18,14,3,1,11
907,12,8,3,1,7
908,13,9,3,1,9
909,6,2,4,0,4
910,7,2,5,0,5
911,8,3,5,0,7
912,6,2,3,1,3
913,6,2,3,1,3
914,6,2,3,1,3
915,6,1,4,1,2
916,6,1,4,1,2
917,7,4,2,1,8
918,7,3,3,1,7
919,10,6,3,1,13
920,10,6,3,1,11
921,11,7,3,1,13
922,10,6,3,1,11
923,11,6,3,2,11
924,9,5,3,1,9
925,10,8,1,1,9
926,15,13,1,1,11
927,16,11,3,2,11
928,20,13,3,4,21
929,19,13,3,3,13
930,23,17,3,3,21
931,21,16,3,2,21
932,14,9,3,2,9
933,10,4,5,1,7
934,15,9,5,1,9
935,8,4,3,1,7
936,8,4,3,1,7
937,11,7,3,1,11
938,10,6,3,1,9
939,7,3,3,1,5
940,7,3,3,1,5
941,14,10,3,1,9
942,19,16,3,0,15
943,10,6,3,1,9
944,14,10,3,1,9
945,13,9,3,1,7
946,10,7,2,1,6
947,11,8,2,1,8
948,16,13,2,1,10
949,10,7,2,1,6
950,7,4,2,1,6
951,7,4,2,1,6
952,8,5,2,1,8
953,9,6,2,1,10
954,9,6,2,1,10
955,11,8,2,1,12
956,11,8,2,1,12
957,8,5,2,1,8
958,9,5,2,2,8
959,13,10,2,1,10
960,19,16,2,1,14
961,11,8,2,1,6
962,13,9,2,2,8
963,17,11,2,4,12
964,8,4,3,1,7
965,9,5,2,2,8
966,10,6,2,2,10
967,10,6,2,2,10
968,13,9,2,2,8
969,11,8,2,1,12
970,18,15,2,1,12
971,12,8,3,1,13
972,14,11,2,1,12
973,19,16,2,1,14
974,18,15,1,2,11
975,7,4,2,1,4
976,13,10,2,1,8
977,10,6,2,2,8
978,8,4,3,1,5
979,11,8,2,1,6
980,12,9,2,1,8
981,12,6,4,2,6
982,11,5,4,2,4
983,11,5,4,2,4
984,12,5,5,2,5
985,9,6,2,1,8
986,8,5,2,1,6
987,10,6,2,2,8
988,11,6,3,2,7
989,13,8,2,3,10
990,10,6,3,1,5
991,9,6,2,1,8
992,8,5,2,1,6
993,10,6,2,2,8
994,11,6,3,2,7
995,13,8,2,3,10
996,10,6,3,1,5
997,9,6,2,1,8
998,8,5,2,1,6
999,10,6,2,2,8
1000,11,6,3,2,7
1001,13,8,2,3,10
1002,10,6,3,1,5
1003,16,8,5,3,11
1004,19,10,5,4,13
1005,19,10,5,4,13
1006,22,12,5,5,15
1007,20,10,5,5,13
1008,8,3,4,1,4
1009,9,4,4,1,6
1010,8,3,4,1,4
1011,9,4,4,1,6
1012,14,10,3,1,11
1013,14,10,3,1,9
1014,11,7,3,1,9
1015,11,7,3,1,9
1016,9,5,3,1,7
1017,11,6,3,2,7
1018,15,10,3,2,7
1019,15,10,3,2,7
1020,14,9,4,1,6
1021,14,10,3,1,7
1022,14,9,4,1,6
1023,15,9,5,1,7
1024,6,2,4,0,4
1025,6,2,4,0,4
1026,6,3,3,0,7
1027,6,3,2,1,4
1028,6,3,3,0,5
1029,10,5,4,1,4
1030,10,5,4,1,4
1031,10,5,4,1,4
1032,10,5,4,1,4
1033,11,5,5,1,5
1034,11,5,5,1,5
1035,14,10,3,1,7
1036,14,10,3,1,7
1037,10,4,5,1,3
1038,10,4,5,1,3
1039,11,5,5,1,5
1040,11,6,4,1,8
1041,16,11,4,1,10
1042,12,7,4,1,10
1043,17,12,4,1,12
1044,13,8,4,1,12
1045,18,13,4,1,14
1046,18,14,3,1,13
1047,22,16,3,3,15
1048,20,15,4,1,12
1049,17,12,4,1,10
1050,21,14,4,3,12
1051,19,13,5,1,9
1052,12,8,3,1,9
1053,19,13,3,3,17
1054,7,4,2,1,4
1055,8,4,3,1,5
1056,8,4,3,1,5
1057,8,4,3,1,5
1058,9,5,3,1,7
1059,10,6,3,1,7
1060,12,6,5,1,5
1061,11,6,3,2,7
1062,9,4,4,1,6
1063,9,4,3,2,5
1064,8,4,3,1,7
1065,8,3,4,1,4
1066,8,3,4,1,4
1067,9,4,4,1,6
1068,8,3,4,1,4
1069,16,10,4,2,10
1070,11,5,4,2,8
1071,24,21,3,0,17
1072,30,27,3,0,21
1073,26,23,3,0,21
1074,16,11,3,2,17
1075,19,13,3,3,19
1076,23,20,3,0,15
1077,11,8,3,0,7
1078,7,4,3,0,7
1079,9,4,3,2,7
1080,19,16,3,0,15
1081,10,6,4,0,10
1082,7,4,3,0,5
1083,8,4,4,0,6
1084,8,4,4,0,6
1085,10,6,4,0,10
1086,9,5,4,0,8
1087,9,5,4,0,8
1088,11,7,4,0,12
1089,11,6,5,0,7
1090,6,3,3,0,5
1091,16,12,2,2,12
1092,7,4,3,0,7
1093,8,1,5,2,1
1094,20,17,3,0,17
1095,19,16,3,0,15
1096,10,8,2,0,8
1097,10,7,3,0,13
1098,9,6,3,0,11
1099,7,5,2,0,8
1100,18,15,2,1,12
1101,8,4,2,2,6
1102,7,3,2,2,4
1103,6,3,2,1,4
1104,19,10,4,5,12
1105,12,8,2,2,6
1106,14,10,2,2,8
1107,11,7,3,1,5
1108,10,4,4,2,6
1109,7,5,2,0,10
1110,6,3,2,1,6
1111,11,9,2,0,8
1112,10,7,3,0,7
1113,6,2,3,1,3
1114,12,8,3,1,7
1115,12,8,3,1,7
1116,12,8,3,1,7
